GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jamascript,com.jamascript,Tokenizer,248,0,34,0,50,0,22,0,5,0
jamascript,com.jamascript,TokenizerException,3,0,0,0,1,0,1,0,1,0
jamascript,com.jamascript,TrueToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,LeftParenthesisToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,IfToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,RightParenthesisToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,App,7,0,0,0,3,0,2,0,2,0
jamascript,com.jamascript,FalseToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,VariableToken,35,0,2,0,9,0,5,0,4,0
jamascript,com.jamascript,RightCurlyBracketToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,ElseToken,10,0,0,0,4,0,4,0,4,0
jamascript,com.jamascript,LeftCurlyBracketToken,10,0,0,0,4,0,4,0,4,0
